,Product_ID,Customer_Name,Customer_ID,Date,Rating,Spam(1) and Not Spam(0),Reviews,Sentiment,Features,,,,,,
0,TE111EL1KXNGWNAFAMZ,itzmr7,6702,11/9/2019,1,0,mil gya hai acha hai aur toota howa b nai hai,Positive,['toota'],,,,,,
1,MI543EL02ACXSNAFAMZ,Afridi,396,11/21/2016,5,0,aram sy pocket may aa jta hai aur quality b achi hai,Positive,"['aram', 'pocket', 'quality']",,,,,,
2,MI543EL02ACXSNAFAMZ,Muhammed,3710,10/22/2018,2,0,sb sy achi chez apki customer service bhot achi hai aur products b orignal hai,Positive,"['customer', 'products', 'orignal']",,,,,,
3,TE111EL1KXNGWNAFAMZ,Ghazanfar,1860,10/6/2017,3,0,back cover acha hai sai cuts hai aur soft b hai kaafi acha hai lakin protector chota hai size may khaas tor b width may lakin touch sai kaam kar rha hai isi hi tarha sensor b sb kuch thek hai aur combination b acha hai,Positive,"['back', 'cover', 'cuts', 'soft', 'protector', 'chota', 'size', 'khaas', 'tor', 'width', 'touch', 'sensor', 'thek', 'combination']",,,,,,
4,SO638EL103OUWNAFAMZ,Murtaza iqbal,3778,8/31/2017,4,0,shru may may thumb grip k khalif thi kyu k extra chezy add kar deti thi lakin jb sy meri stock controller ki rubber wire kharab hona churu hoei may ny inn grips ko khared aur may bhot kush ho in pair ko istemail kar k in ko istemaal karna bhot asan hai aur mujhy lagta h inn ko istemaal kar k may acha game khelny wala ban gya ho inn ki quality inn ko acha banati hai aur asan h istemaal may,Negative,"['thumb', 'grip', 'chezy', 'stock', 'controller', 'wire', 'grips', 'pair', 'istemail', 'asan', 'ban', 'quality', 'asan']",,,,,,
5,SO638EL103OUWNAFAMZ,Usman,5754,2/14/2016,5,0,may ny ya lya kyu k ya madad karti h acha karni may jb game khelo race wali may ny new nfs ki game liii hai tu meri dost ny bola k tm ya khareed lo iss sy achi tarha game khel lo gi tu phr may ny ya in ka  ka pack liay lya ya sirf teezi k lya kaam nai aati balky iss sy dono players ka fyda b hota hai,Positive,"['madad', 'new', 'khel', 'pack']",,,,,,
6,SO638EL103OUWNAFAMZ,Rehan,4448,5/18/2019,4,0,mein neh shuru mein yeh haasil karne ki zahmat nahi ki thi lekin ab jab ke mere ps kntrolrz aik bohat barri satah par farsodah ho rahay hain mujhe  kaam se kaam ke liye hungami mansoobah talaash karne ki zaroorat hai aur yeh angothay ki girift aik game set hain mere liye match,Positive,"['neh', 'haasil', 'barri', 'mansoobah', 'talaash', 'zaroorat', 'girift', 'set', 'match']",,,,,,
7,ON533EL15USCONAFAMZ,Aftab,405,6/15/2018,5,0,iss ka pura packge jis may naya chipset hai aur iss ki keemat b bhot kaam hai baki phone may sy jsy k samsung  etc,Negative,"['packge', 'naya', 'chipset', 'keemat', 'samsung']",,,,,,
8,ON533EL15USCONAFAMZ,Sikander,5264,1/20/2019,1,0,bohat mehanga kya hai mein iss price brikt mein simsng s ya s kyun nahi khareedon ga daraz nay phone ki qeemat bohat onche kar di hai aur iss se yeh darmiyanay faaslay wala phone nahi bantaa hai iss qeemat mein simsng tamam behtar khususiyaat ke sath behtar hai bekar farokht,Negative,"['mehanga', 'khareedon', 'qeemat', 'darmiyanay', 'qeemat', 'tamam', 'bekar', 'farokht']",,,,,,
9,ON533EL15USCONAFAMZ,A compliment,34,3/2/2018,5,0,yeh duniya mein har jagah  hai koi kharidari karne se pehlay iss haqeeqat ko jaan len,Positive,"['kharidari', 'pehlay', 'haqeeqat']",,,,,,
